56.64,415.4
57.14,412.9
57.64,410.4
58.14,407.91
58.64,405.41
59.14,402.91
59.64,400.42
60.14,397.92
60.64,395.42
61.14,392.93
61.64,390.43
62.14,387.94
62.64,385.44
63.14,382.95
63.64,380.45
64.14,377.96
64.64,375.46
65.14,372.97
65.64,370.48
66.14,367.98
66.636,365.51
67.136,363.03
67.636,360.53
68.136,358.04
68.636,355.55
69.136,353.06
69.636,350.57
70.136,348.08
70.636,345.59
71.136,343.09
71.636,340.6
72.136,338.11
72.636,335.62
73.136,333.13
73.636,330.65
74.136,328.16
74.636,325.67
75.136,323.19
75.636,320.7
76.136,318.22
76.636,315.73
77.136,313.25
77.636,310.76
78.136,308.27
78.636,305.79
79.136,303.3
79.636,300.82
80.136,298.33
80.636,295.85
81.136,293.36
81.636,290.88
82.136,288.4
82.636,285.92
83.136,283.44
83.636,280.96
84.136,278.47
84.636,275.99
85.136,273.51
85.636,271.03
86.136,268.55
86.636,266.07
87.136,263.59
87.636,261.11
88.136,258.63
88.636,256.15
89.136,253.68
89.636,251.2
90.136,248.72
90.636,246.24
91.136,243.76
91.636,241.28
92.136,238.8
92.636,236.32
93.136,233.85
93.636,231.37
94.136,228.9
94.636,226.42
95.136,223.95
95.636,221.47
96.136,219
96.636,216.52
97.136,214.05
97.636,211.57
98.136,209.1
98.636,206.62
99.136,204.15
99.636,201.68
100.14,199.2
100.64,196.73
101.14,194.26
101.63,191.81
102.13,189.34
102.63,186.87
103.13,184.4
103.63,181.93
104.13,179.46
104.63,176.99
105.13,174.52
105.63,172.05
106.13,169.58
106.63,167.11
107.13,164.65
107.63,162.18
108.13,159.71
108.63,157.24
109.13,154.77
109.63,152.3
110.13,149.84
110.63,147.37
111.13,144.9
111.63,142.44
112.13,139.97
112.63,137.51
113.13,135.04
113.63,132.58
114.13,130.11
114.63,127.65
115.13,125.18
115.63,122.72
116.13,120.28
116.63,117.82
117.13,115.36
117.63,112.89
118.13,110.44
118.63,107.97
119.13,105.51
119.63,103.05
120.13,100.59
120.63,98.13
121.13,95.672
121.63,93.211
122.13,90.75
122.63,88.289
123.13,85.831
123.63,83.371
124.13,80.912
124.63,78.452
125.13,75.994
125.63,73.538
126.13,71.079
126.63,68.625
127.13,66.167
127.63,63.713
128.13,61.256
128.63,58.799
129.13,56.348
129.63,53.892
130.13,51.435
130.63,48.979
131.13,46.524
131.63,44.068
132.13,41.613
132.63,39.158
133.13,36.708
133.63,34.254
134.13,31.803
134.63,29.349
135.13,26.898
135.63,24.448
136.13,21.995
136.63,19.543
137.13,17.091
137.63,14.639
138.13,12.188
138.63,9.7366
139.13,7.2852
139.63,4.8344
140.13,2.3851
140.63,-0.06459
